Alessioporus_01	smnhtau:fu.22.044|ITS|PQ310604.1
Alessioporus_02	flas_f_72861|ITS|PP850655.1
Alessioporus_03	omdl_inat_80323515|ITS|PP791178.1
Alessioporus_04	flas_f_71408|ITS|OR052588.1
Alessioporus_05	jlf2561|ITS|KC812305.1
Alessioporus_06	hal_bp_1|ITS|MT594492.1
Alessioporus_07	otu269|ITS|MT595615.1
Alessioporus_08	jlf7889|ITS|MT133530.1
Alessioporus_09	mushroom_observer_320104|ITS|MK537327.1
Alessioporus_10	ml61972ai|ITS|MH011928.1
Alessioporus_11	amb:12756|ITS|NR_153525.1
Alessioporus_12	jlf2561b|ITS|KU736958.1
Alessioporus_13	arb1356|ITS|KU736957.1
Alessioporus_14	arb1262|ITS|KT223008.1
Alessioporus_15	to_avx11|ITS|KJ729498.1
Alessioporus_16	mcve_17721|ITS|KJ729497.1
Alessioporus_17	mg420a|ITS|KJ729496.1
Alessioporus_18	rg_xer.ich._6|ITS|KJ729495.1
Alessioporus_19	rg_xer.ich._5|ITS|KJ729494.1
Alessioporus_20	mg_549a|ITS|KJ729493.1
Alessioporus_21	to_avx13|ITS|KJ729492.1
Alessioporus_22	amb_12756|ITS|KJ729491.1
