Amoenoboletus_01	flas_f_61525|ITS|MH211950.1
Amoenoboletus_02	uwal_m_0001515|ITS|PV741252.1
Amoenoboletus_03	uwal_m_0001571|ITS|PV741247.1
Amoenoboletus_04	gdgm:85730|ITS|NR_199212.1
Amoenoboletus_05	gdgm_92249|ITS|OR528040.1
Amoenoboletus_06	flas_f_68076|ITS|OL960512.1
Amoenoboletus_07	gdgm_87379|ITS|OP251010.1
Amoenoboletus_08	gdgm_85730|ITS|OP251009.1
Amoenoboletus_09	zt:14046|ITS|NR_177173.1
Amoenoboletus_10	pdd:113208|ITS|OP141439.1
Amoenoboletus_11	pdd:113101|ITS|OP141432.1
Amoenoboletus_12	pdd:105456|ITS|OP141381.1
Amoenoboletus_13	mes_3833|ITS|ON383408.1
Amoenoboletus_14	ny_2686023|ITS|OL960511.1
Amoenoboletus_15	zt14046|ITS|MZ708842.1
Amoenoboletus_16	pdd97418|ITS|MZ708841.1
Amoenoboletus_17	hkas56280|ITS|MZ708840.1
Amoenoboletus_18	hkas80250|ITS|MW520191.1
Amoenoboletus_19	hkas86007|ITS|MW520190.1
Amoenoboletus_20	mhhnu9490|ITS|MW520189.1
Amoenoboletus_21	mushroom_observer_179586|ITS|MH251719.1
