Heimioporus_01	kun_hkas132786|ITS|PP382452.1
Heimioporus_02	sd_201|ITS|PQ804887.1
Heimioporus_03	bo24642|ITS|PQ220248.1
Heimioporus_04	sl2141|ITS|OR636165.1
Heimioporus_05	oms_029|ITS|LC667058.1
Heimioporus_06	hkas122685|ITS|ON794431.1
Heimioporus_07	hkas122501|ITS|ON794331.1
Heimioporus_08	hkas122500|ITS|ON794330.1
Heimioporus_09	hkas122368|ITS|ON794255.1
Heimioporus_10	hkas111748|ITS|ON794228.1
Heimioporus_11	ba16|ITS|LC483904.1
Heimioporus_12	jy2021_8_18_4|ITS|OL998840.1
Heimioporus_13	ymf5.0056|ITS|MW893258.1
Heimioporus_14	gdgm44447|ITS|MN202582.1
Heimioporus_15	gdgm44783|ITS|MN202581.1
Heimioporus_16	mhhnu_30645|ITS|MK253768.1
Heimioporus_17	n.k._zeng3023|ITS|MF962408.1
Heimioporus_18	n.k._zeng2793|ITS|MF962407.1
Heimioporus_19	n.k._zeng2786|ITS|MF962406.1
Heimioporus_20	n.k._zeng1335|ITS|MF962404.1
Heimioporus_21	n.k._zeng1329|ITS|MF962403.1
Heimioporus_22	lancang_y.j._hao84|ITS|MF962402.1
Heimioporus_23	n.k._zeng2864_1|ITS|MF962401.1
Heimioporus_24	n.k._zeng2792|ITS|MF962399.1
Heimioporus_25	n.k._zeng2791|ITS|MF962398.1
Heimioporus_26	n.k._zeng2790|ITS|MF962397.1
Heimioporus_27	n.k._zeng2787|ITS|MF962395.1
Heimioporus_28	z.l._yang5901|ITS|MF962394.1
Heimioporus_29	n.k.zeng3109|ITS|MH241052.1
Heimioporus_30	HE817963.1|ITS|HE817963.1
Heimioporus_31	1178|ITS|HE814079.1
Heimioporus_32	cmub39822|ITS|KX575659.1
Heimioporus_33	ap1|ITS|KU372649.1
Heimioporus_34	ap1|ITS|KR061493.1
