Singerocomus_01	anderlechi_02_2021|ITS|OQ288920.1
Singerocomus_02	anderlechi_12_2021|ITS|OQ288919.1
Singerocomus_03	bpi_925437|ITS|PP102315.1
Singerocomus_04	k_m000193867|ITS|OQ108306.1
Singerocomus_05	k_m000193866|ITS|OQ108305.1
Singerocomus_06	f_j.p._fiard_563a/b_holotype/paratype|ITS|OQ108304.1
Singerocomus_07	brg:41208|ITS|NR_164253.1
Singerocomus_08	gas_900|ITS|KY907182.1
Singerocomus_09	bzl_69|ITS|KY907181.1
Singerocomus_10	mj_105|ITS|KY907180.1
Singerocomus_11	cato_106|ITS|KY907179.1
Singerocomus_12	acm_1275|ITS|KY907178.1
Singerocomus_13	acm_527|ITS|KY907177.1
Singerocomus_14	henkel_9616|ITS|LC043096.1
Singerocomus_15	henkel_9585|ITS|LC043093.1
Singerocomus_16	aime_4004|ITS|LC043090.1
Singerocomus_17	henkel_9199|ITS|LC043087.1
Singerocomus_18	henkel_8865|ITS|LC043084.1
Singerocomus_19	th10087|ITS|KT380014.1
Singerocomus_20	th10109|ITS|KT380013.1
Singerocomus_21	th10111|ITS|KT380012.1
Singerocomus_22	th10072|ITS|KT380010.1
Singerocomus_23	th8408|ITS|JN021114.1
