Sutorius_01	hkas114318|ITS|MZ426806.1
Sutorius_02	kd_23_015|ITS|PP838747.1
Sutorius_03	b8_s5|ITS|ON790757.1
Sutorius_04	yaas2021_11sm|ITS|OR075205.1
Sutorius_05	yaas8.17_13sb|ITS|OR075204.1
Sutorius_06	jlf11199|ITS|OP580495.1
Sutorius_07	hmjau60859|ITS|OL891491.1
Sutorius_08	jlf2547|ITS|KC812313.1
Sutorius_09	ymf5.0137|ITS|MW874563.1
Sutorius_10	ny:03817572|ITS|MW899061.1
Sutorius_11	n.k.zeng3045|ITS|MH885361.1
Sutorius_12	s.d.yang010|ITS|MH885359.1
Sutorius_13	n.k.zeng3043|ITS|MH885360.1
Sutorius_14	th8988|ITS|KT339268.1
