Turmalinea_01	a617|ITS|PP533016.1
Turmalinea_02	hkas70601|ITS|KC552003.1
Turmalinea_03	kpm_nc_0017743|ITS|KC552002.1
Turmalinea_04	kpm_nc_0018015|ITS|KC552001.1
Turmalinea_05	kpm_nc_0018014|ITS|KC552000.1
Turmalinea_06	kpm_nc_0018012|ITS|KC551999.1
Turmalinea_07	kpm_nc_0018011|ITS|KC551998.1
Turmalinea_08	kpm_nc_0018053|ITS|KC551997.1
Turmalinea_09	kpm_nc_0018008|ITS|KC551996.1
Turmalinea_10	kpm_nc_0018006|ITS|KC551995.1
Turmalinea_11	kpm_nc_0018004|ITS|KC551994.1
Turmalinea_12	kpm_nc_0018003|ITS|KC551993.1
Turmalinea_13	kpm_nc_0017858|ITS|KC551992.1
Turmalinea_14	kpm_nc_0018001|ITS|KC551991.1
Turmalinea_15	hkas:70601|ITS|NR_156553.1
Turmalinea_16	kpm_nc0023377|ITS|KJ001092.1
Turmalinea_17	kpm_nc0018059|ITS|KJ001090.1
