Xanthoconium_01	flas_f_61124|ITS|MH211760.1
Xanthoconium_02	omdl_inat_172784750|ITS|PV708647.1
Xanthoconium_03	omdl_/_vsvc_inat_228743918|ITS|PV607227.1
Xanthoconium_04	omdl_k._canan_inaturalist_218410573|ITS|PQ691340.1
Xanthoconium_05	omdl_inat_173093838|ITS|OR987328.1
Xanthoconium_06	omdl_inat_171108121|ITS|OR825625.1
Xanthoconium_07	omdl_inat_165422198|ITS|OR785894.1
Xanthoconium_08	omdl_inat_171110072|ITS|OR785965.1
Xanthoconium_09	omdl_inat_171113135|ITS|OR785933.1
Xanthoconium_10	omdl_inat_171446015|ITS|OR785908.1
Xanthoconium_11	omdl_inat_171445997|ITS|OR785907.1
Xanthoconium_12	jlf11172_az_inaturalist_145765844|ITS|PV350130.1
Xanthoconium_13	dai_25015|ITS|PQ205434.1
Xanthoconium_14	acad_21427f|ITS|PV248515.1
Xanthoconium_15	acad_21408f|ITS|PV248432.1
Xanthoconium_16	acad_21522f|ITS|PV248396.1
Xanthoconium_17	omdl_inat_171446048|ITS|OR825567.1
Xanthoconium_18	jbri_m19_965|ITS|PQ613417.1
Xanthoconium_19	inaturalist182797123_xanthoconium_affin_e|ITS|PP728229.1
Xanthoconium_20	s.d._russell_ont_inaturalist_136438541|ITS|OP749229.1
Xanthoconium_21	s.d._russell_ont_inaturalist_129748329|ITS|OP643225.1
Xanthoconium_22	jlf11118|ITS|OP592126.1
Xanthoconium_23	s.d._russell_ont_inaturalist_128670014|ITS|OP470510.1
Xanthoconium_24	n.k._zeng4492fhmu4759|ITS|OK316964.1
Xanthoconium_25	acad21129f_mushroomobserver.org/489021|ITS|ON412796.1
Xanthoconium_26	ny:03817503|ITS|ON179806.1
Xanthoconium_27	acad21096f_mushroomobserver.org/485774|ITS|OM716990.1
Xanthoconium_28	ts2021_8_11|ITS|OL998881.1
Xanthoconium_29	n.k.zeng3087|ITS|MT822951.1
Xanthoconium_30	18497|ITS|JF907799.1
Xanthoconium_31	cnv54|ITS|MT345231.1
Xanthoconium_32	cnv2|ITS|MT345179.1
Xanthoconium_33	mhhnu_31020|ITS|MK253777.1
Xanthoconium_34	jlf6809|ITS|MK928407.1
Xanthoconium_35	flas_f_61285|ITS|MH399872.1
Xanthoconium_36	n.k.zeng2941|ITS|KY271041.1
Xanthoconium_37	n.k.zeng2483|ITS|KY271040.1
Xanthoconium_38	n.k.zeng1832|ITS|KY271039.1
Xanthoconium_39	n.k.zeng1583|ITS|KY271038.1
Xanthoconium_40	n.k.zeng1575|ITS|KY271037.1
Xanthoconium_41	n.k.zeng1548|ITS|KY271036.1
Xanthoconium_42	ab02|ITS|MH796986.1
Xanthoconium_43	nifos2716|ITS|MF405929.1
Xanthoconium_44	gdgm:30303|ITS|NR_154481.1
Xanthoconium_45	3735|ITS|KM248938.1
Xanthoconium_46	gdgm_30303|ITS|KT220587.1
Xanthoconium_47	fh:mes254|ITS|FJ480435.1
Xanthoconium_48	gdgm_30303|ITS|KC168089.1
Xanthoconium_49	147_415|ITS|AB509750.1
Xanthoconium_50	119_176|ITS|AB509593.1
Xanthoconium_51	f:prl5370man|ITS|GQ166881.1
